i,Jsm,Jc,R
1.97946680867156,371902187862.408,85199945.1323313,4365.05196435015
1.99582751865708,372676073867.423,85721566.8772987,4347.51822024986
2.01228738541446,373449859489.994,86245225.8161876,4330.09312638265
2.02884678797629,374223544521.697,86770925.2438666,4312.77577679337
2.04550610593377,374997128754.135,87298668.4517144,4295.56527499099
2.0622657194358,375770611978.941,87828458.7276244,4278.4607338299
2.07912600918806,376543993987.77,88360299.356008,4261.4612753931
2.09608735645217,377317274572.309,88894193.6178002,4244.5660308769
2.11315014304474,378090453524.269,89430144.7904624,4227.77414047743
2.13031475133652,378863530635.392,89968156.1479885,4211.0847532787
2.14758156425149,379636505697.442,90508230.9609074,4194.49702714238
2.16495096526598,380409378502.217,91050372.4962886,4178.01012859912
2.18242333840773,381182148841.537,91594584.0177457,4161.62323274142
2.1999990682551,381954816507.253,92140868.7854412,4145.33552311809
2.21767853993605,382727381291.242,92689230.0560904,4129.14619163021
2.23546213912738,383499842985.409,93239671.0829661,4113.05443842852
2.25335025205374,384272201381.688,93792195.115902,4097.05947181245
2.27134326548678,385044456272.039,94346805.4012976,4081.16050813039
2.28944156674431,385816607448.451,94903505.1821229,4065.35677168147
2.30764554368929,386588654702.94,95462297.6979216,4049.64749461878
2.32595558472909,387360597827.552,96023186.1848155,4034.03191685392
2.34437207881447,388132436614.359,96586173.8755096,4018.50928596286
2.36289541543881,388904170855.461,97151263.9992955,4003.07885709321
2.38152598463713,389675800342.987,97718459.782056,3987.73989287276
2.40026417698526,390447324869.096,98287764.4462689,3972.49166331932
2.41911038359893,391218744225.972,98859181.2110113,3957.33344575179
2.43806499613292,391990058205.828,99432713.2919643,3942.26452470253
2.45712840678013,392761266600.908,100008363.901417,3927.28419183091
2.47630100827071,393532369203.482,100586136.24827,3912.39174583815
2.49558319387121,394303365805.848,101166033.538039,3897.5864923832
2.51497535738367,395074256200.334,101748058.972863,3882.86774399994
2.53447789314472,395845040179.297,102332215.751503,3868.23482001544
2.55409119602476,396615717535.122,102918507.06935,3853.68704646939
2.573815661427,397386288060.222,103506936.118426,3839.22375603464
2.59365168528665,398156751547.039,104097506.087393,3824.84428793881
2.61359966406999,398927107788.045,104690220.16155,3810.54798788705
2.63365999477353,399697356575.74,105285081.522844,3796.33420798573
2.65383307492309,400467497702.653,105882093.349872,3782.20230666735
2.67411930257296,401237530961.342,106481258.817882,3768.15164861631
2.69451907630501,402007456144.394,107082581.098781,3754.18160469585
2.7150327952278,402777273044.425,107686063.361137,3740.29155187583
2.73566085897572,403546981454.082,108291708.770185,3726.48087316162
2.75640366770808,404316581166.037,108899520.487828,3712.74895752392
2.7772616221083,405086071972.996,109509501.672644,3699.09519982948
2.79823512338297,405855453667.691,110121655.479889,3685.51900077283
2.81932457326099,406624726042.885,110735985.061501,3672.01976680888
2.84053037399274,407393888891.37,111352493.566105,3658.59691008643
2.86185292834913,408162942005.968,111971184.139014,3645.24984838266
2.88329263962079,408931885179.53,112592059.922237,3631.9780050384
2.90484991161718,409700718204.936,113215124.054481,3618.78080889423
2.92652514866569,410469440875.098,113840379.671156,3605.65769422763
2.94831875561081,411238052982.954,114467829.904376,3592.60810069075
2.97023113781322,412006554321.475,115097477.88297,3579.63147324915
2.99226270114895,412774944683.661,115729326.732475,3566.72726212129
3.01441385200848,413543223862.542,116363379.575153,3553.89492271884
3.0366849972959,414311391651.176,116999639.529984,3541.13391558781
3.05907654442801,415079447842.654,117638109.712677,3528.4437063504
3.08158890133348,415847392230.095,118278793.235671,3515.82376564764
3.10422247645196,416615224606.649,118921693.208137,3503.27356908286
3.12697767873322,417382944765.496,119566812.73599,3490.79259716575
3.14985491763628,418150552499.846,120214154.921881,3478.3803352573
3.17285460312852,418918047602.939,120863722.865213,3466.0362735154
3.19597714568487,419685429868.047,121515519.662135,3453.75990684114
3.21922295628689,420452699088.47,122169548.405554,3441.55073482581
3.24259244642192,421219855057.54,122825812.185133,3429.40826169864
3.26608602808222,421986897568.62,123484314.087299,3417.33199627517
3.28970411376409,422753826415.101,124145057.195244,3405.32145190632
3.31344711646704,423520641390.407,124808044.588931,3393.37614642805
3.33731544969287,424287342287.992,125473279.345096,3381.49560211183
3.36130952744484,425053928901.342,126140764.537255,3369.67934561553
3.38542976422683,425820401023.97,126810503.235706,3357.92690793513
3.40967657504243,426586758449.425,127482498.507529,3346.23782435696
3.43405037539408,427353000971.282,128156753.4166,3334.61163441058
3.45855158128227,428119128383.15,128833271.023584,3323.04788182224
3.48318060920458,428885140478.668,129512054.385945,3311.54611446896
3.50793787615489,429651037051.507,130193106.55795,3300.10588433319
3.53282379962252,430416817895.368,130876430.59067,3288.72674745802
3.55783879759133,431182482803.983,131562029.531985,3277.40826390303
3.58298328853887,431948031571.116,132249906.426591,3266.14999770062
3.60825769143554,432713463990.563,132940064.315998,3254.95151681291
3.63366242574372,433478779856.148,133632506.238537,3243.81239308929
3.6591979114169,434243978961.731,134327235.229367,3232.73220222428
3.68486456889884,435009061101.201,135024254.320474,3221.71052371619
3.7106628191227,435774026068.477,135723566.540674,3210.7469408261
3.73659308351019,436538873657.514,136425174.915625,3199.84104053743
3.7626557839707,437303603662.293,137129082.467819,3188.99241351606
3.78885134290046,438068215876.832,137835292.216597,3178.20065407081
3.81518018318167,438832710095.177,138543807.178147,3167.4653601146
3.84164272818164,439597086111.407,139254630.365506,3156.78613312594
3.86823940175196,440361343719.633,139967764.788569,3146.16257811096
3.89497062822761,441125482713.999,140683213.454092,3135.59430356593
3.92183683242614,441889502888.678,141400979.365689,3125.08092144022
3.94883843964679,442653404037.879,142121065.523847,3114.62204709972
3.97597587566963,443417185955.838,142843474.92592,3104.2172992907
4.00324956675476,444180848436.828,143568210.566138,3093.86630010414
4.03065993964137,444944391275.152,144295275.435608,3083.56867494049
4.05820742154698,445707814265.144,145024672.522322,3073.32405247486
4.08589244016649,446471117201.173,145756404.811156,3063.13206462266
4.11371542367144,447234299877.638,146490475.283875,3052.99234650559
4.14167680070905,447997362088.973,147226886.91914,3042.90453641814
4.16977700040146,448760303629.64,147965642.692508,3032.86827579443
4.19801645234479,449523124294.139,148706745.576436,3022.88320917549
4.22639558660837,450285823876.999,149450198.540286,3012.94898417695
4.25491483373385,451048402172.782,150196004.550331,3003.06525145703
4.28357462473436,451810858976.083,150944166.569754,2993.23166468505
4.31237539109363,452573194081.531,151694687.558655,2983.44788051023
4.34131756476522,453335407283.785,152447570.474052,2973.71355853091
4.37040157817158,454097498377.54,153202818.269889,2964.02836126409
4.39962786420326,454859467157.522,153960433.897036,2954.39195411542
4.42899685621804,455621313418.49,154720420.303293,2944.80400534946
4.45850898804009,456383036955.237,155482780.433397,2935.26418606036
4.48816469395911,457144637562.587,156247517.229021,2925.77217014287
4.51796440872952,457906115035.4,157014633.62878,2916.32763426369
4.54790856756958,458667469168.567,157784132.568237,2906.93025783317
4.57799760616053,459428699757.012,158556016.979902,2897.57972297733
4.6082319606458,460189806595.695,159330289.793239,2888.27571451026
4.63861206763012,460950789479.607,160106953.93467,2879.0179199068
4.66913836417868,461711648203.771,160886012.327575,2869.80602927553
4.69981128781632,462472382563.248,161667467.8923,2860.63973533215
4.73063127652663,463232992353.128,162451323.546158,2851.51873337313
4.76159876875117,463993477368.537,163237582.203433,2842.44272124964
4.79271420338857,464753837404.634,164026246.775385,2833.41139934185
4.82397801979372,465514072256.612,164817320.170252,2824.42447053348
4.85539065777693,466274181719.697,165610805.293256,2815.48164018671
4.88695255760307,467034165589.149,166406705.046601,2806.58261611729
4.91866415999073,467794023660.262,167205022.329486,2797.72710857004
4.95052590611141,468553755728.364,168005760.038099,2788.91483019457
4.98253823758864,469313361588.817,168808921.065626,2780.14549602131
