i,Jsm,Jc,R
484.341424379563,1345739559026.3,4995886302.39027,269.369532765874
484.747516173321,1345930338253.57,4999036175.47698,269.237967281793
485.15383543508,1346121028538.79,5002187210.76626,269.10648718655
485.560382222397,1346311629869.37,5005339408.37272,268.97509240179
485.967156592387,1346502142232.71,5008492768.41088,268.843782849252
486.374158603237,1346692565616.21,5011647290.99523,268.712558450772
486.781388312505,1346882900007.29,5014802976.24037,268.581419128266
487.188845778093,1347073145393.38,5017959824.2608,268.450364803751
487.596531057002,1347263301761.91,5021117835.17104,268.319395399334
488.004444207109,1347453369100.3,5024277009.0856,268.18851083721
488.412585286344,1347643347396,5027437346.11897,268.057711039669
488.820954351795,1347833236636.45,5030598846.38567,267.926995929089
489.229551461311,1348023036809.11,5033761510.0002,267.79636542794
489.638376672649,1348212747901.44,5036925337.07706,267.665819458782
490.047430043077,1348402369900.89,5040090327.73072,267.535357944269
490.456711630572,1348591902794.93,5043256482.07568,267.40498080714
490.866221492361,1348781346571.05,5046423800.22643,267.274687970227
491.275959686045,1348970701216.72,5049592282.29735,267.144479356458
491.685926269467,1349159966719.43,5052761928.40299,267.014354888842
492.096121299715,1349349143066.67,5055932738.65777,266.884314490482
492.506544834645,1349538230245.94,5059104713.17618,266.75435808457
492.917196931938,1349727228244.75,5062277852.07269,266.624485594388
493.328077648737,1349916137050.6,5065452155.46165,266.494696943312
493.739187043067,1350104956651.02,5068627623.45759,266.364992054799
494.150525172015,1350293687033.52,5071804256.17491,266.235370852402
494.562092093186,1350482328185.63,5074982053.72799,266.105833259764
494.973887864331,1350670880094.9,5078161016.23133,265.976379200609
495.385912542685,1350859342748.85,5081341143.79936,265.847008598757
495.798166185863,1351047716135.03,5084522436.54643,265.717721378118
496.210648851483,1351236000241,5087704894.58697,265.588517462686
496.623360596886,1351424195054.32,5090888518.0354,265.459396776545
497.036301479496,1351612300562.54,5094073307.0061,265.33035924387
497.449471556877,1351800316753.24,5097259261.61349,265.201404788921
497.862870886591,1351988243613.99,5100446381.97195,265.072533336048
498.276499526062,1352176081132.37,5103634668.19587,264.943744809689
498.690357532533,1352363829295.97,5106824120.39965,264.815039134369
499.104444963746,1352551488092.39,5110014738.69764,264.686416234703
499.518761876849,1352739057509.22,5113206523.20419,264.557876035394
499.933308329777,1352926537534.07,5116399474.03378,264.429418461225
500.348084379483,1353113928154.55,5119593591.30063,264.301043437081
500.763090083669,1353301229358.27,5122788875.11919,264.172750887921
501.178325499502,1353488441132.86,5125985325.60379,264.044540738797
501.593790684762,1353675563465.95,5129182942.86881,263.916412914847
502.009485696493,1353862596345.18,5132381727.02858,263.788367341297
502.425410592407,1354049539758.17,5135581678.19743,263.66040394346
502.841565429643,1354236393692.58,5138782796.48969,263.532522646737
503.257950265741,1354423158136.06,5141985082.01979,263.404723376607
503.674565158291,1354609833076.27,5145188534.90195,263.27700605865
504.091410164083,1354796418500.88,5148393155.25054,263.149370618521
504.508485341311,1354982914397.55,5151598943.17992,263.021816981964
504.925790746664,1355169320753.95,5154805898.80435,262.894345074813
505.343326437854,1355355637557.78,5158014022.23824,262.766954822982
505.761092472044,1355541864796.72,5161223313.59579,262.639646152478
506.179088906786,1355728002458.46,5164433772.9914,262.512418989387
506.597315799348,1355914050530.7,5167645400.5393,262.385273259886
507.015773207071,1356100009001.15,5170858196.35387,262.258208890233
507.434461187325,1356285877857.51,5174072160.5494,262.131225806773
507.853379797278,1356471657087.52,5177287293.24014,262.00432393594
508.272529094626,1356657346678.88,5180503594.54039,261.87750320425
508.691909136117,1356842946619.33,5183721064.56451,261.7507635383
509.111519979559,1357028456896.61,5186939703.4267,261.624104864782
509.531361682306,1357213877498.45,5190159511.24129,261.497527110463
509.951434301281,1357399208412.6,5193380488.12257,261.3710302022
510.37173789403,1357584449626.82,5196602634.1848,261.244614066934
510.792272517828,1357769601128.86,5199825949.54225,261.118278631689
511.21303822977,1357954662906.49,5203050434.30921,260.992023823575
511.634035087501,1358139634947.48,5206276088.59996,260.865849569784
512.055263148011,1358324517239.61,5209502912.52872,260.739755797597
512.476722468623,1358509309770.65,5212730906.20976,260.613742434374
512.898413106809,1358694012528.4,5215960069.75742,260.487809407558
513.320335119457,1358878625500.66,5219190403.28584,260.361956644684
513.742488564172,1359063148675.21,5222421906.90937,260.23618407336
514.164873497957,1359247582039.88,5225654580.74222,260.110491621284
514.587489978209,1359431925582.46,5228888424.89864,259.984879216238
515.010338062243,1359616179290.78,5232123439.49288,259.859346786085
515.433417807158,1359800343152.67,5235359624.63921,259.733894258768
515.856729270166,1359984417155.94,5238596980.45184,259.608521562321
516.280272508458,1360168401288.45,5241835507.04504,259.483228624855
516.704047579352,1360352295538.03,5245075204.53301,259.358015374566
517.128054540151,1360536099892.52,5248316073.03001,259.232881739731
517.552293447803,1360719814339.79,5251558112.65027,259.107827648713
