S,i_star,omega_star_deg,DeltaG_star,branch_star,i_transition,DeltaG_concave_end,DeltaG_convex_start,DeltaG_transition_jump,i_Sg_max,Sg_max,DeltaG_at_Sg_max,i_control_switch,S_control_switch,DeltaG_at_control_switch,i_pore_failure,S_pore_failure,DeltaG_at_pore_failure
1.29,11878.5778271734,153.785104379349,545.223251431986,convex,279.205442793631,-55.234121900552,-55.1842915615689,0.0498303389830284,968.874874535306,1.47769435703545,21.3965536450736,3769.27146845989,1.38879974122019,294.051633312044,1563.61754959993,1.46645587704358,90.7651147178294
1.39,3711.52704956223,119.552140505854,12.731744457328,convex,279.205442793631,-75.9800834524871,-75.9806668244354,-0.000583371948351896,968.874874535306,1.47769435703545,-50.8663888814217,3769.27146845989,1.38879974122019,12.7067999235837,1563.61754959993,1.46645587704358,-25.9022251531669
1.59,1.00100806178081,13.2297808150679,0,concave,279.205442793631,-113.333794793918,-113.425149528816,-0.0913547348985162,968.874874535306,1.47769435703545,-180.977933196191,3769.27146845989,1.38879974122019,-493.862812069898,1563.61754959993,1.46645587704358,-235.965187315906
