i,DeltaG_kBT_single_S_1p29,DeltaG_kBT_single_S_1p39,DeltaG_kBT_single_S_1p59
1.00092213149145,0,0,0
1.00241008504967,0.00229425803416516,0.00218316514677097,0.00198313914954618
1.00390038844275,0.0045911517851156,0.00436879056806472,0.00396842268468278
1.0053930456447,0.00689068468794618,0.00655687940226901,0.00595585320957071
1.00688806063666,0.00919286018285215,0.00874743479234308,0.00794543333198394
1.00838543740716,0.0114976817151411,0.0109404598858038,0.0099371656632572
1.00988517995151,0.013805152735308,0.0131359578348493,0.0119310528185017
1.01138729227298,0.0161152766988781,0.0153339317961159,0.0139270974161896
1.01289177838152,0.0184280570666902,0.0175343849310519,0.015925302078712
1.01439864229544,0.0207434973043976,0.0197373204052997,0.0179256694315315
1.01590788803865,0.0230616008833198,0.0219427413897457,0.0199282021045941
1.01741951964382,0.0253823712795933,0.0241506510594416,0.0219329027308439
1.01893354115054,0.0277058119746285,0.0263610525941953,0.0239397739470415
1.02044995660609,0.0300319264549009,0.0285739491783077,0.0259488183934122
1.02196877006393,0.0323607182124621,0.0307893440011915,0.0279600387144621
1.02348998558625,0.0346921907442388,0.0330072402564849,0.029973437557747
1.0250136072426,0.0370263475522918,0.0352276411424093,0.0319890175744177
1.02653963910853,0.0393631921443576,0.037450549862414,0.0340067814200462
1.02806808526894,0.041702728032921,0.0396759696240001,0.0360267317530001
1.02959894981453,0.0440449587361185,0.0419039036398856,0.0380488712360818
1.03113223684456,0.0463898877770079,0.0441343551270714,0.0400732025352286
1.03266795046512,0.0487375186841512,0.0463673273075531,0.0420997283204554
1.03420609479046,0.0510878549912133,0.0486028234078169,0.0441284512651641
1.0357466739418,0.0534409002371876,0.0508408466591628,0.0461593740466419
1.03728969204804,0.0557966579664142,0.0530814002976587,0.0481924993459053
1.03883515324523,0.0581551317286282,0.055324487564238,0.0502278298478793
1.04038306167798,0.0605163250785252,0.0575701117041509,0.052265368240652
1.04193342149748,0.0628802415764551,0.0598182759678152,0.0543051172165945
1.04348623686274,0.0652468847880452,0.0620689836103385,0.05634707947172
1.04504151194065,0.0676162582840862,0.0643222378914068,0.0583912577055576
1.04659925090585,0.0699883656407727,0.0665780420755286,0.0604376546214151
1.04815945793976,0.0723632104398453,0.0688363994322532,0.0624862729267361
1.04972213723253,0.0747407962681472,0.0710973132355814,0.0645371153322367
1.05128729298133,0.0771211267179774,0.0733607867644444,0.0665901845526213
1.05285492939069,0.0795042053871704,0.0756268233027608,0.0686454833065935
1.05442505067365,0.0818900358787364,0.0778954261389879,0.0707030143162481
1.05599766105064,0.0842786218011731,0.080166598566521,0.0727627803076301
1.05757276474961,0.086669966768357,0.0824403438835697,0.0748247840105818
1.05915036600629,0.0890640743996642,0.0847166653932656,0.0768890281588259
1.06073046906398,0.0914609483199245,0.0869955664036262,0.0789555154899531
1.0623130781744,0.0938605921591673,0.0892770502272411,0.0810242487449906
1.06389819759685,0.0962630095530024,0.0915611201817139,0.0830952306689641
1.06548583159751,0.0986682041427267,0.093847779589824,0.0851684640111499
1.06707598445195,0.101076179574612,0.0961370317786199,0.0872439515238299
1.06866866044206,0.103486939500863,0.0984288800806152,0.0893216959639025
1.07026386385816,0.105900487579007,0.100723327833016,0.0914017000918244
1.0718615989991,0.108316827471905,0.103020378377724,0.0934839666716005
1.07346187017035,0.110735962848167,0.105320035061895,0.0955684984716045
1.0750646816865,0.113157897381671,0.107622301237276,0.0976552982635703
1.07667003786886,0.115582634752104,0.109927180260914,0.0997443688236284
1.07827794304817,0.118010178644303,0.11223467549431,0.1018357129311
1.07988840156091,0.120440532749141,0.114544790304568,0.103929333370133
1.08150141775362,0.122873700762585,0.116857528063135,0.106025232927867
1.08311699598004,0.12530968638634,0.119172892146659,0.10812341439568
1.08473514060121,0.127748493327775,0.121490885936908,0.110223880569078
1.08635585598757,0.130190125299571,0.12381151282026,0.112326634246925
1.08797914651635,0.132634586020301,0.126134776188475,0.114431678232546
1.08960501657301,0.135081879213998,0.128460679438162,0.116539015333011
1.09123347055173,0.137532008610211,0.130789225970794,0.118648648359083
1.0928645128546,0.139984977944154,0.133120419192917,0.120760580125535
1.09449814789085,0.142440790956801,0.135454262516308,0.122874813451409
1.09613438007869,0.144899451394647,0.137790759357589,0.124991351159386
1.09777321384437,0.147360963009784,0.14012991313838,0.127110196076063
1.09941465362195,0.149825329560106,0.142471727285526,0.129231351032214
1.10105870385386,0.152292554808999,0.144816205230732,0.131354818862349
1.10270536899049,0.154762642525666,0.147163350410927,0.133480602405127
1.10435465349105,0.157235596484842,0.149513166267917,0.1356087045029
1.10600656182173,0.159711420467139,0.151865656248859,0.137739128002438
1.10766109845812,0.162190118258713,0.154220823805756,0.139871875754086
1.1093182678834,0.164671693651497,0.156578672395819,0.142006950612382
1.11097807458911,0.167156150443204,0.158939205481417,0.144144355435895
1.11264052307494,0.169643492437178,0.161302426529939,0.146284093087118
1.11430561784938,0.172133723442475,0.163668339013831,0.148426166432424
1.11597336342832,0.174626847274129,0.166036946410963,0.150570578342606
1.11764376433699,0.177122867752579,0.168408252203915,0.152717331691919
1.11931682510788,0.179621788704385,0.170782259880844,0.154866429359212
1.12099255028235,0.182123613961779,0.173158972934914,0.157017874227159
1.12267094441067,0.184628347362526,0.175538394864164,0.159171669182101
1.12435201205019,0.187135992750627,0.177920529172333,0.161327817115132
1.12603575776784,0.189646553975552,0.180305379367921,0.163486320920817
1.12772218613844,0.192160034892748,0.182692948964808,0.165647183498044
1.12941130174516,0.194676439363442,0.185083241482038,0.167810407749739
1.13110310917992,0.197195771254684,0.187476260443817,0.169975996582816
1.13279761304258,0.19971803443951,0.189872009379752,0.172143952908521
1.13449481794203,0.202243232796661,0.192270491824476,0.17431427964191
1.13619472849528,0.204771370210802,0.194671711317941,0.176486979702275
1.13789734932798,0.207302450572493,0.197075671405349,0.178662056012985
1.1396026850745,0.209836477778158,0.199482375637114,0.180839511501459
1.14131074037729,0.212373455730141,0.201891827568968,0.183019349099338
1.14302151988801,0.214913388336626,0.204304030761796,0.185201571742187
1.14473502826614,0.217456279511912,0.206718988782012,0.187386182370044
1.14645127017988,0.220002133176086,0.209136705201169,0.189573183926913
1.1481702503067,0.222550953255133,0.211557183596024,0.19176257936076
1.14989197333211,0.225102743681111,0.213980427548808,0.193954371623941
1.15161644395049,0.227657508391915,0.216406440646926,0.196148563672794
1.15334366686515,0.230215251331405,0.218835226483084,0.198345158467757
1.15507364678672,0.232775976449762,0.221266788655755,0.200544158974051
1.15680638843657,0.235339687702671,0.223701130768126,0.202745568160171
1.15854189654291,0.237906389052188,0.226138256429232,0.204949388999534
1.16028017584413,0.240476084466129,0.228578169253117,0.207155624469204
1.16202123108679,0.243048777918422,0.231020872859321,0.209364277550637
1.16376506702553,0.245624473389266,0.233466370873058,0.211575351229881
1.16551168842487,0.248203174864497,0.235914666924433,0.213788848496545
1.16726110005775,0.250784886336231,0.23836576464921,0.216004772344764
1.16901330670558,0.253369611802714,0.240819667688646,0.218223125773034
1.17076831315887,0.255957355268121,0.243276379689251,0.220443911783868
1.17252612421727,0.258548120742729,0.245735904302952,0.222667133383981
1.17428674468862,0.261141912243082,0.248198245187332,0.224892793584632
1.17605017939043,0.263738733791545,0.250663406005073,0.227120895400887
1.17781643314846,0.266338589416851,0.25313139042461,0.229351441852452
1.17958551079743,0.268941483153847,0.255602202119822,0.231584435963272
1.18135741718141,0.271547419043418,0.25807584476993,0.23381988076138
1.18313215715389,0.274156401132396,0.260552322059396,0.236057779278782
1.18490973557559,0.276768433474328,0.263031637678857,0.238298134552687
1.18669015731793,0.27938352012844,0.265513795323833,0.240540949623746
1.18847342726055,0.282001665160405,0.267998798695674,0.242786227537342
1.19025955029248,0.284622872641873,0.270486651501008,0.245033971342867
1.19204853131142,0.287247146650905,0.272977357452227,0.247284184094313
1.19384037522419,0.289874491271763,0.275470920267241,0.249536868849967
1.19563508694741,0.292504910594647,0.277967343669171,0.251792028672006
1.19743267140521,0.29513840871651,0.280466631387323,0.254049666627786
1.19923313353286,0.29777498974002,0.282968787155891,0.256309785788047
1.20103647827327,0.300414657774396,0.285473814715052,0.258572389228494
1.20284271057923,0.303057416935039,0.28798171781042,0.260837480028934
1.20465183541178,0.305703271343865,0.290492500193514,0.263105061273971
1.20646385774289,0.308352225128536,0.29300616562078,0.26537513605167
1.20827878255192,0.311004282423599,0.295522717855,0.267647707455434
1.21009661482818,0.313659447369646,0.298042160664256,0.269922778582633
1.21191735957108,0.316317724113474,0.300564497822081,0.272200352534726
1.21374102178763,0.318979116808496,0.303089733108056,0.274480432418204
1.21556760649535,0.321643629614255,0.305617870307111,0.276763021343484
1.21739711872043,0.324311266696847,0.308148913210078,0.279048122425731
1.21922956349921,0.326982032228379,0.310682865613041,0.281335738783991
1.22106494587649,0.329655930387703,0.313219731318201,0.283625873542291
1.22290327090655,0.332332965359972,0.315759514133352,0.285918529828977
1.22474454365346,0.335013141336678,0.318302217871894,0.288213710776684
1.22658876919053,0.337696462515658,0.32084784635288,0.290511419522461
1.22843595260027,0.340382933101328,0.323396403401263,0.292811659208015
1.23028609897511,0.343072557304421,0.325947892847563,0.29511443297929
1.23213921341632,0.345765339342158,0.328502318528135,0.297419743986876
1.23399530103465,0.348461283438337,0.331059684285202,0.299727595385957
1.2358543669512,0.351160393822987,0.333619993966439,0.302037990335777
1.23771641629569,0.353862674732741,0.33618325142549,0.30435093200039
1.23958145420783,0.356568130410711,0.338749460521728,0.306666423548238
1.24144948583656,0.359276765106571,0.341318625120397,0.308984468152389
1.24332051634094,0.361988583076376,0.343890749092371,0.311305068990183
1.2451945508886,0.364703588582881,0.346465836314583,0.313628229243871
1.24707159465807,0.367421785895152,0.349043890669459,0.315953952099723
1.24895165283613,0.370143179289093,0.351624916045651,0.318282240749135
1.25083473062078,0.372867773046831,0.354208916337196,0.320613098387373
1.2527208332181,0.375595571457337,0.356795895444371,0.322946528214861
1.25460996584505,0.378326578815982,0.359385857273041,0.325282533436143
1.25650213372789,0.381060799424823,0.361978805735061,0.327621117260512
1.25839734210193,0.383798237592587,0.364574744748283,0.32996228290203
1.26029559621314,0.386538897634491,0.367173678236253,0.33230603357903
1.26219690131721,0.389282783872376,0.369775610128411,0.334652372514425
1.26410126267895,0.392029900634828,0.372380544360268,0.337001302935981
1.2660086855738,0.394780252256919,0.374988484873019,0.33935282807571
1.26791917528619,0.397533843080644,0.377599435614119,0.341706951170682
1.26983273711069,0.400290677454459,0.380213400536724,0.344063675462297
1.27174937635257,0.403050759733399,0.382830383599766,0.346423004196306
1.27366909832537,0.405814094279599,0.385450388768665,0.348784940623824
1.27559190835377,0.408580685461586,0.3880734200144,0.351149488000033
1.27751781177197,0.41135053765464,0.390699481313989,0.353516649584875
1.2794468139241,0.414123655240843,0.393328576650516,0.355886428643017
