S_env,Key_point,Meaning,i,S_Kelvin,omega_deg,DeltaG_on_dual_curve,Energy_unit
1.29,T,concave-to-convex transition,279.205442793631,1.38879961386296,60,-55.2092067310604,kBT
1.29,Sgmax,maximum growth saturation ratio,968.874874535306,1.47769435703545,84.3821700904204,21.3965536450736,kBT
1.29,B,S_p = S_0 control switch,3769.27146845989,1.38879974122019,119.999999875467,294.051633312044,kBT
1.29,F,pore failure: S_g = S_single,1563.61754959993,1.46645587704358,95.9195755394444,90.7651147178294,kBT
1.39,T,concave-to-convex transition,279.205442793631,1.38879961386296,60,-75.9803751384613,kBT
1.39,Sgmax,maximum growth saturation ratio,968.874874535306,1.47769435703545,84.3821700904204,-50.8663888814217,kBT
1.39,B,S_p = S_0 control switch,3769.27146845989,1.38879974122019,119.999999875467,12.7067999235837,kBT
1.39,F,pore failure: S_g = S_single,1563.61754959993,1.46645587704358,95.9195755394444,-25.9022251531669,kBT
1.59,T,concave-to-convex transition,279.205442793631,1.38879961386296,60,-113.379472161367,kBT
1.59,Sgmax,maximum growth saturation ratio,968.874874535306,1.47769435703545,84.3821700904204,-180.977933196191,kBT
1.59,B,S_p = S_0 control switch,3769.27146845989,1.38879974122019,119.999999875467,-493.862812069898,kBT
1.59,F,pore failure: S_g = S_single,1563.61754959993,1.46645587704358,95.9195755394444,-235.965187315906,kBT
