i,S_single
1.00092213149145,5.69446503511805
1.00241008504967,5.69054305008621
1.00390038844275,5.6866253180713
1.0053930456447,5.68271183339355
1.00688806063666,5.67880259038217
1.00838543740716,5.67489758337517
1.00988517995151,5.67099680671955
1.01138729227298,5.66710025477105
1.01289177838152,5.66320792189423
1.01439864229544,5.65931980246262
1.01590788803865,5.65543589085839
1.01741951964382,5.65155618147256
1.01893354115054,5.64768066870487
1.02044995660609,5.64380934696396
1.02196877006393,5.63994221066704
1.02348998558625,5.63607925424009
1.0250136072426,5.63222047211791
1.02653963910853,5.62836585874386
1.02806808526894,5.62451540857001
1.02959894981453,5.62066911605708
1.03113223684456,5.61682697567455
1.03266795046512,5.61298898190038
1.03420609479046,5.60915512922119
1.0357466739418,5.60532541213229
1.03728969204804,5.60149982513748
1.03883515324523,5.59767836274911
1.04038306167798,5.59386101948821
1.04193342149748,5.59004778988423
1.04348623686274,5.58623866847517
1.04504151194065,5.58243364980761
1.04659925090585,5.57863272843655
1.04815945793976,5.5748358989255
1.04972213723253,5.57104315584637
1.05128729298133,5.56725449377967
1.05285492939069,5.56346990731421
1.05442505067365,5.55968939104726
1.05599766105064,5.55591293958447
1.05757276474961,5.55214054753998
1.05915036600629,5.54837220953619
1.06073046906398,5.54460792020388
1.0623130781744,5.54084767418227
1.06389819759685,5.5370914661188
1.06548583159751,5.53333929066924
1.06707598445195,5.52959114249776
1.06866866044206,5.52584701627671
1.07026386385816,5.52210690668676
1.0718615989991,5.51837080841678
1.07346187017035,5.51463871616401
1.0750646816865,5.51091062463381
1.07667003786886,5.50718652853978
1.07827794304817,5.50346642260368
1.07988840156091,5.49975030155559
1.08150141775362,5.49603816013363
1.08311699598004,5.49232999308407
1.08473514060121,5.48862579516146
1.08635585598757,5.48492556112834
1.08797914651635,5.48122928575538
1.08960501657301,5.47753696382146
1.09123347055173,5.47384859011342
1.0928645128546,5.47016415942618
1.09449814789085,5.46648366656283
1.09613438007869,5.4628071063344
1.09777321384437,5.45913447355995
1.09941465362195,5.45546576306657
1.10105870385386,5.45180096968942
1.10270536899049,5.44814008827154
1.10435465349105,5.44448311366396
1.10600656182173,5.44083004072577
1.10766109845812,5.43718086432389
1.1093182678834,5.43353557933321
1.11097807458911,5.42989418063649
1.11264052307494,5.42625666312452
1.11430561784938,5.42262302169586
1.11597336342832,5.41899325125693
1.11764376433699,5.41536734672215
1.11931682510788,5.41174530301367
1.12099255028235,5.40812711506144
1.12267094441067,5.40451277780337
1.12435201205019,5.40090228618507
1.12603575776784,5.39729563515997
1.12772218613844,5.39369281968923
1.12941130174516,5.39009383474191
1.13110310917992,5.38649867529468
1.13279761304258,5.382907336332
1.13449481794203,5.37931981284603
1.13619472849528,5.37573609983674
1.13789734932798,5.37215619231168
1.1396026850745,5.36858008528608
1.14131074037729,5.36500777378297
1.14302151988801,5.36143925283292
1.14473502826614,5.35787451747413
1.14645127017988,5.35431356275256
1.1481702503067,5.35075638372166
1.14989197333211,5.34720297544249
1.15161644395049,5.3436533329838
1.15334366686515,5.34010745142183
1.15507364678672,5.3365653258404
1.15680638843657,5.33302695133085
1.15854189654291,5.32949232299218
1.16028017584413,5.32596143593077
1.16202123108679,5.32243428526058
1.16376506702553,5.31891086610302
1.16551168842487,5.31539117358709
1.16726110005775,5.31187520284916
1.16901330670558,5.30836294903305
1.17076831315887,5.30485440729015
1.17252612421727,5.30134957277915
1.17428674468862,5.29784844066619
1.17605017939043,5.29435100612489
1.17781643314846,5.29085726433619
1.17958551079743,5.28736721048841
1.18135741718141,5.28388083977724
1.18313215715389,5.28039814740581
1.18490973557559,5.2769191285845
1.18669015731793,5.27344377853102
1.18847342726055,5.26997209247041
1.19025955029248,5.2665040656351
1.19204853131142,5.26303969326469
1.19384037522419,5.25957897060607
1.19563508694741,5.25612189291352
1.19743267140521,5.25266845544844
1.19923313353286,5.24921865347948
1.20103647827327,5.24577248228264
1.20284271057923,5.242329937141
1.20465183541178,5.23889101334488
1.20646385774289,5.23545570619185
1.20827878255192,5.2320240109866
1.21009661482818,5.22859592304099
1.21191735957108,5.22517143767401
1.21374102178763,5.2217505502119
1.21556760649535,5.21833325598791
1.21739711872043,5.21491955034241
1.21922956349921,5.21150942862299
1.22106494587649,5.20810288618422
1.22290327090655,5.20469991838777
1.22474454365346,5.20130052060237
1.22658876919053,5.19790468820389
1.22843595260027,5.19451241657514
1.23028609897511,5.19112370110596
1.23213921341632,5.18773853719332
1.23399530103465,5.18435692024108
1.2358543669512,5.18097884566011
1.23771641629569,5.17760430886835
1.23958145420783,5.17423330529061
1.24144948583656,5.1708658303587
1.24332051634094,5.16750187951133
1.2451945508886,5.16414144819425
1.24707159465807,5.16078453186003
1.24895165283613,5.15743112596818
1.25083473062078,5.15408122598509
1.2527208332181,5.15073482738412
1.25460996584505,5.1473919256454
1.25650213372789,5.14405251625594
1.25839734210193,5.14071659470968
1.26029559621314,5.13738415650731
1.26219690131721,5.13405519715635
1.26410126267895,5.13072971217122
1.2660086855738,5.12740769707306
1.26791917528619,5.12408914738978
1.26983273711069,5.12077405865619
1.27174937635257,5.11746242641377
1.27366909832537,5.11415424621076
1.27559190835377,5.11084951360214
1.27751781177197,5.10754822414971
1.2794468139241,5.10425037342189
1.2813789201644,5.10095595699386
1.28331413585688,5.09766497044744
1.28525246637569,5.09437740937125
1.28719391710505,5.09109326936048
1.28913849343865,5.087812546017
1.29108620078125,5.08453523494941
1.29303704454713,5.08126133177285
1.2949910301604,5.07799083210911
1.29694816305565,5.07472373158668
1.29890844867739,5.07146002584057
1.30087189248106,5.0681997105124
1.30283849993116,5.06494278125036
1.3048082765029,5.06168923370929
1.30678122768172,5.05843906355052
1.30875735896383,5.05519226644194
1.31073667585442,5.05194883805795
1.31271918386996,5.04870877407958
1.3147048885374,5.04547207019428
1.31669379539347,5.042238722096
1.31868590998504,5.03900872548527
1.32068123786969,5.03578207606904
1.32267978461584,5.03255876956069
1.32468155580129,5.02933880168019
1.32668655701547,5.02612216815383
1.32869479385724,5.02290886471438
1.33070627193676,5.0196988871011
1.33272099687368,5.01649223105957
1.33473897429909,5.01328889234184
1.33676020985411,5.01008886670628
1.33878470919089,5.00689214991776
1.34081247797175,5.00369873774744
1.34284352186956,5.00050862597281
1.34487784656819,4.99732181037783
1.34691545776167,4.9941382867527
1.34895636115514,4.99095805089397
1.35100056246416,4.98778109860449
1.35304806741566,4.9846074256935
1.35509888174569,4.98143702797644
1.35715301120282,4.97826990127506
1.35921046154565,4.97510604141744
1.36127123854341,4.97194544423787
1.36333534797628,4.96878810557687
1.36540279563559,4.96563402128129
1.36747358732278,4.96248318720415
1.36954772885134,4.95933559920468
1.37162522604449,4.95619125314832
1.373706084737,4.9530501449068
1.37579031077463,4.94991227035793
1.37787791001376,4.94677762538575
1.37996888832228,4.94364620588043
1.38206325157868,4.94051800773838
1.38416100567214,4.93739302686208
1.38626215650401,4.93427125916013
1.38836670998537,4.93115270054738
1.39047467203965,4.92803734694467
1.39258604860043,4.92492519427896
1.39470084561345,4.9218162384834
1.39681906903469,4.91871047549712
1.3989407248317,4.91560790126533
1.40106581898293,4.91250851173942
1.4031943574792,4.9094123028767
1.40532634632086,4.90631927064059
1.40746179152086,4.90322941100048
1.40960069910313,4.9001427199319
1.41174307510272,4.8970591934163
1.41388892556649,4.89397882744115
1.41603825655189,4.89090161799988
1.4181910741287,4.88782756109202
1.42034738437725,4.88475665272294
1.42250719339024,4.881688888904
1.42467050727077,4.8786242656526
1.42683733213478,4.87556277899198
1.42900767410801,4.87250442495132
1.4311815393298,4.86944919956581
1.43335893394895,4.86639709887645
1.43553986412739,4.8633481189302
1.43772433603836,4.86030225577984
1.43991235586576,4.85725950548416
1.44210392980675,4.85421986410771
1.44429906406863,4.85118332772089
1.44649776487146,4.84814989240008
1.44870003844662,4.84511955422737
1.45090589103739,4.84209230929074
1.45311532889891,4.83906815368394
1.45532835829727,4.83604708350665
1.4575449855119,4.83302909486422
1.45976521683255,4.83001418386783
1.46198905856235,4.82700234663452
1.46421651701472,4.82399357928701
1.46644759851635,4.82098787795377
1.46868230940542,4.81798523876914
1.47092065603144,4.8149856578731
1.47316264475701,4.81198913141138
1.4754082819562,4.80899565553542
1.47765757401516,4.80600522640246
1.47991052733192,4.80301784017536
1.48216714831712,4.80003349302267
1.48442744339266,4.7970521811187
1.48669141899394,4.79407390064337
1.48895908156689,4.79109864778228
1.49123043757132,4.78812641872666
1.49350549347768,4.78515720967348
1.49578425576953,4.78219101682526
1.49806673094332,4.77922783639014
1.50035292550607,4.77626766458197
1.50264284597841,4.77331049762012
1.50493649889362,4.77035633172955
1.50723389079568,4.76740516314092
1.50953502824266,4.76445698809036
1.51183991780463,4.76151180281962
1.51414856606326,4.75856960357596
1.51646097961383,4.75563038661229
1.5187771650631,4.75269414818699
1.52109712903183,4.74976088456398
1.52342087815106,4.74683059201269
1.52574841906697,4.74390326680813
1.52807975843637,4.74097890523077
1.53041490292955,4.73805750356653
1.53275385922943,4.73513905810693
1.53509663403135,4.73222356514888
1.53744323404341,4.72931102099475
1.53979366598706,4.72640142195246
1.54214793659514,4.72349476433529
1.54450605261509,4.72059104446197
1.54686802080554,4.71769025865674
1.54923384793835,4.71479240324918
1.55160354079936,4.71189747457431
1.55397710618601,4.70900546897252
1.5563545509087,4.7061163827897
1.55873588179167,4.70323021237703
1.56112110567136,4.70034695409108
1.56351022939783,4.69746660429377
1.56590325983279,4.69458915935249
1.56830020385316,4.69171461563986
1.57070106834704,4.68884296953386
1.57310586021684,4.68597421741788
1.57551458637738,4.68310835568055
1.57792725375666,4.68024538071581
1.58034386929635,4.677385288923
1.58276443995089,4.67452807670666
1.58518897268843,4.67167374047666
1.58761747448967,4.66882227664811
1.59004995234953,4.66597368164148
1.59248641327472,4.66312795188241
1.59492686428746,4.6602850838018
1.59737131242182,4.65744507383587
1.59981976472532,4.654607918426
1.60227222825951,4.65177361401882
1.60472871009922,4.64894215706614
1.60718921733235,4.64611354402507
1.60965375706073,4.64328777135784
1.61212233639949,4.64046483553187
1.61459496247784,4.63764473301984
1.61707164243789,4.63482746029952
1.61955238343595,4.63201301385386
1.6220371926413,4.62920139017103
1.62452607723771,4.62639258574426
1.62701904442205,4.62358659707196
1.62951610140534,4.6207834206577
1.63201725541238,4.61798305301013
1.63452251368056,4.61518549064303
1.63703188346332,4.61239073007523
1.63954537202572,4.60959876783078
1.64206298664852,4.60680960043871
1.64458473462519,4.60402322443317
1.64711062326305,4.60123963635335
1.64964065988447,4.59845883274357
1.65217485182516,4.59568081015315
1.65471320643475,4.59290556513643
1.65725573107692,4.59013309425288
1.65980243312972,4.58736339406691
1.66235331998504,4.58459646114797
1.66490839904906,4.58183229207059
1.66746767774208,4.57907088341421
1.67003116349869,4.57631223176331
1.67259886376764,4.57355633370732
1.67517078601176,4.57080318584075
1.67774693770856,4.56805278476296
1.6803273263493,4.56530512707835
1.6829119594402,4.5625602093962
1.68550084450137,4.55981802833084
1.68809398906773,4.55707858050146
1.69069140068837,4.55434186253217
