Point,i,S,omega_rad,omega_deg
Sp_dual_vs_Single_R2p828_1,1410.0138877177,1.42639823035958,1.46130357070266,83.7265271886595
Sp_dual_vs_Single_R2p828_2,6762.97485214899,1.28883704702961,2.30880537980333,132.28480397983
S0_dual_vs_Single_R2p828_1,2038.17941833684,1.39219863923857,1.63350438912673,93.5929073130576
