i,S_single
1.00344849611189,4.8626441550729
1.00811875466237,4.85313760214179
1.01281211031971,4.8436613629116
1.0175286854457,4.83421531786243
1.02226860309992,4.82479934802932
1.02703198704423,4.81541333499932
1.03181896174809,4.80605716090844
1.03662965239116,4.79673070843897
1.04146418486852,4.78743386081646
1.04632268579536,4.77816650180686
1.05120528251157,4.7689285157137
1.05611210308471,4.75971978737527
1.06104327631639,4.75054020216177
1.06599893174638,4.74138964597253
1.07097919965556,4.73226800523326
1.07598421107251,4.72317516689315
1.08101409777751,4.71411101842233
1.08606899230641,4.70507544780897
1.09114902795697,4.69606834355664
1.09625433879147,4.68708959468158
1.10138505964342,4.67813909071002
1.10654132612032,4.66921672167552
1.11172327461118,4.6603223781163
1.11693104228847,4.6514559510726
1.12216476711474,4.64261733208409
1.12742458784706,4.63380641318724
1.1327106440425,4.62502308691264
1.13802307606166,4.61626724628259
1.14336202507543,4.60753878480843
1.14872763306884,4.59883759648802
1.1541200428463,4.59016357580317
1.15953939803753,4.58151661771717
1.1649858431015,4.57289661767231
1.17045952333273,4.56430347158719
1.1759605848657,4.55573707585464
1.18148917467964,4.54719732733882
1.18704544060567,4.53868412337305
1.19262953133064,4.5301973617573
1.19824159640268,4.52173694075579
1.20388178623611,4.51330275909453
1.20955025211865,4.504894715959
1.21524714621537,4.49651271099172
1.22097262157363,4.48815664428991
1.2267268321305,4.47982641640319
1.23250993271726,4.47152192833109
1.23832207906449,4.4632430815209
1.24416342780933,4.4549897778653
1.25003413649881,4.44676191970003
1.25593436359798,4.43855940980163
1.26186426849423,4.43038215138519
1.26782401150378,4.42223004810208
1.2738137538763,4.41410300403767
1.27983365780333,4.40600092370921
1.28588388642123,4.39792371206341
1.29196460381875,4.38987127447448
1.29807597504296,4.38184351674176
1.30421816610526,4.3738403450876
1.31039134398727,4.36586166615522
1.31659567664643,4.35790738700649
1.32283133302367,4.34997741511985
1.32909848304809,4.34207165838813
1.33539729764355,4.33419002511651
1.34172794873612,4.32633242402021
1.34809060925869,4.31849876422277
1.35448545315841,4.31068895525353
1.36091265540316,4.30290290704589
1.36737239198725,4.2951405299351
1.37386483993859,4.28740173465625
1.38039017732563,4.27968643234221
1.38694858326273,4.27199453452166
1.39354023791708,4.26432595311704
1.40016532251743,4.25668060044249
1.40682401935732,4.249058389202
1.41351651180496,4.24145923248732
1.42024298430794,4.23388304377605
1.42700362240217,4.22632973692963
1.43379861271608,4.21879922619146
1.44062814298095,4.21129142618491
1.44749240203455,4.20380625191143
1.45439157983022,4.19634361874864
1.46132586744386,4.1889034424484
1.46829545708096,4.18148563913496
1.47530054208248,4.17409012530301
1.48234131693463,4.1667168178159
1.48941797727416,4.15936563390372
1.49653071989622,4.15203649116151
1.50367974276238,4.14472930754732
1.51086524500742,4.1374440013805
1.51808742694687,4.1301804913398
1.52534649008488,4.12293869646161
1.53264263712224,4.11571853613814
1.53997607196242,4.1085199301156
1.54734699972196,4.10134279849251
1.55475562673569,4.09418706171787
1.56220216056529,4.08705264058942
1.56968681000867,4.07993945625188
1.57720978510603,4.07284743019523
1.58477129714815,4.06577648425297
1.59237155868566,4.05872654060043
1.60001078353553,4.05169752175302
1.60768918679126,4.04468935056453
1.61540698482847,4.0377019502255
1.62316439531531,4.03073524426148
1.63096163722029,4.02378915653139
1.63879893081977,4.01686361122585
1.64667649770769,4.00995853286552
1.65459456080356,4.00307384629946
1.66255334436006,3.99620947670353
1.67055307397388,3.9893653495787
1.67859397659237,3.9825413907495
1.68667628052287,3.97573752636239
1.6948002154421,3.96895368288409
1.70296601240453,3.96218978710015
1.7111739038512,3.95544576611322
1.71942412361889,3.94872154734156
1.72771690694974,3.94201705851744
1.73605249049943,3.93533222768563
1.74443111234644,3.92866698320179
1.75285301200276,3.92202125373098
1.76131843042069,3.91539496824616
1.76982761000468,3.90878805602655
1.77838079461939,3.90220044665625
1.78697822959935,3.8956320700227
1.79562016175904,3.88908285631514
1.80430683940215,3.88255273602317
1.81303851233113,3.87604163993526
1.82181543185742,3.86954949913726
1.83063785081158,3.86307624501096
1.8395060235514,3.85662180923267
1.84842020597483,3.85018612377164
1.85738065552747,3.8437691208888
1.86638763121389,3.83737073313522
1.8754413936074,3.83099089335071
1.88454220486135,3.8246295346624
1.89369032871775,3.81828659048336
1.90288603051935,3.81196199451118
1.91212957721854,3.80565568072655
1.92142123738964,3.79936758339197
1.93076128123806,3.79309763705022
1.94014998061249,3.78684577652315
1.94958760901407,3.78061193691024
1.95907444160831,3.77439605358724
1.96861075523623,3.76819806220484
1.97819682842337,3.76201789868735
1.98783294139452,3.75585549923133
1.99751937608192,3.74971080030428
2.00725641613709,3.74358373864336
2.01704434694313,3.73747425125399
2.02688345562532,3.73138227540867
2.03677403106298,3.72530774864554
2.04671636390019,3.71925060876723
2.05671074656001,3.71321079383948
2.0667574732521,3.70718824218993
2.07685683998853,3.7011828924068
2.08700914459371,3.69519468333766
2.09721468671616,3.68922355408815
2.10747376784203,3.68326944402078
2.11778669130586,3.67733229275366
2.12815376230318,3.67141204015919
2.1385752879037,3.66550862636298
2.14905157706317,3.65962199174255
2.15958294063546,3.65375207692609
2.17016969138515,3.64789882279131
2.18081214400193,3.64206217046419
2.19151061511152,3.63624206131783
2.20226542328859,3.63043843697122
2.21307688907118,3.62465123928809
2.22394533497332,3.61888041037569
2.23487108549609,3.61312589258368
2.24585446714461,3.60738762850294
2.25689580843786,3.6016655609644
2.267995439925,3.59595963303792
2.27915369419672,3.5902697880311
2.29037090589951,3.58459596948818
2.30164741175083,3.5789381211889
2.31298355055097,3.57329618714737
2.32437966319796,3.56767011161096
2.33583609270138,3.56205983905914
2.34735318419698,3.55646531420243
2.35893128496041,3.5508864819813
2.37057074442158,3.54532328756502
2.38227191417935,3.53977567635061
2.39403514801578,3.53424359396174
2.40586080191194,3.52872698624765
2.41774923406038,3.5232257992821
2.42970080488278,3.51773997936226
2.44171587704242,3.51226947300773
2.45379481546071,3.50681422695933
2.46593798733263,3.50137418817823
2.47814576214109,3.4959493038448
2.49041851167288,3.49053952135758
2.50275661003349,3.48514478833228
2.51516043366443,3.4797650526007
2.52763036135717,3.47440026220977
2.54016677427031,3.46905036542049
2.55277005594445,3.46371531070693
2.5654405923192,3.45839504675519
2.57817877174891,3.45308952246248
2.59098498501968,3.44779868693605
2.60385962536537,3.44252248949223
2.61680308848305,3.43726087965543
2.6298157725522,3.43201380715718
2.64289807824942,3.42678122193512
2.65605040876623,3.42156307413209
2.66927316982604,3.41635931409512
2.68256676970154,3.41116989237442
2.69593161923107,3.40599475972255
2.70936813183834,3.40083386709338
2.72287672354656,3.39568716564118
2.73645781299993,3.39055460671965
2.75011182147774,3.38543614188103
2.76383917291592,3.3803317228751
2.77764029392243,3.37524130164836
2.79151561379659,3.37016483034299
2.80546556454809,3.36510226129604
2.81949058091312,3.36005354703846
2.83359110037686,3.35501864029417
2.84776756318776,3.34999749397925
2.86202041238052,3.34499006120096
2.87635009379228,3.33999629525689
2.8907570560827,3.33501614963405
2.90524175075452,3.33004957800803
2.91980463217132,3.32509653424204
2.93444615757708,3.32015697238613
2.94916678711775,3.31523084667629
2.96396698385939,3.3103181115335
2.97884721380909,3.30541872156302
2.9938079459349,3.30053263155345
3.00884965218636,3.29565979647587
3.0239728075139,3.29080017148301
3.0391778898921,3.28595371190844
3.05446538033792,3.28112037326569
3.0698357629322,3.27630011124742
3.08528952484166,3.27149288172463
3.10082715633945,3.26669864074576
3.11644915082755,3.26191734453597
3.13215600485604,3.25714894949624
3.14794821814763,3.25239341220262
3.16382629361836,3.24765068940537
3.17979073739859,3.24292073802817
3.19584205885732,3.23820351516735
3.2119807706229,3.23349897809108
3.22820738860639,3.22880708423856
3.2445224320247,3.22412779121925
3.26092642342181,3.21946105681207
3.27741988869377,3.21480683896467
3.29400335711112,3.21016509579259
3.31067736134199,3.20553578557855
3.32744243747594,3.20091886677162
3.34429912504797,3.19631429798652
3.36124796706261,3.19172203800281
3.37828951001662,3.18714204576417
3.39542430392625,3.18257428037763
3.41265290234805,3.17801870111284
3.42997586240621,3.17347526740128
3.44739374481631,3.16894393883559
3.46490711391062,3.16442467516878
3.48251653766333,3.15991743631354
3.50022258771595,3.15542218234147
3.5180258394031,3.15093887348238
3.53592687177778,3.14646747012356
3.55392626763727,3.14200793280906
3.57202461355046,3.13756022223902
3.59022249988328,3.13312429926885
3.60852052082507,3.12870012490866
3.62691927441635,3.12428766032247
3.64541936257456,3.11988686682755
3.6640213911227,3.11549770589368
3.68272596981516,3.11112013914252
3.70153371236589,3.10675412834686
3.7204452364777,3.10239963542998
3.73946116386708,3.09805662246497
3.75858212029533,3.09372505167398
3.77780873559657,3.08940488542765
3.79714164370375,3.08509608624436
3.81658148268155,3.08079861678962
3.83612889475192,3.07651243987534
3.85578452632597,3.07223751845924
3.87554902803145,3.06797381564413
3.89542305474419,3.0637212946773
3.91540726561664,3.05947991894985
3.93550232410932,3.05524965199605
3.95570889802005,3.05103045749268
3.97602765951559,3.04682229925839
3.9964592851624,3.0426251412531
4.01700445595691,3.0384389475773
4.03766385735772,3.0342636824715
4.05843817931712,3.03009931031552
4.07932811631232,3.02594579562792
4.10033436737803,3.02180310306537
4.12145763613948,3.01767119742196
4.14269863084304,3.01355004362874
4.16405806439047,3.00943960675294
4.18553665437274,3.00533985199746
4.2071351231005,3.00125074470023
4.22885419764143,2.99717225033362
4.25069460985022,2.99310433450383
4.27265709640579,2.98904696295028
4.29474239884375,2.98500010154507
4.31695126359198,2.9809637162923
4.33928444200439,2.97693777332757
4.36174269039756,2.97292223891733
4.38432677008518,2.96891707945833
4.40703744741385,2.96492226147705
4.42987549379863,2.96093775162907
4.45284168575975,2.95696351669857
4.47593680496017,2.9529995235977
4.49916163823953,2.94904573936604
4.52251697765427,2.94510213117002
4.54600362051256,2.94116866630239
4.56962236941418,2.93724531218158
4.59337403228562,2.93333203635127
4.61725942242123,2.9294288064797
4.64127935852036,2.92553559035923
4.66543466472445,2.92165235590572
4.68972617065994,2.91777907115801
4.71415471147459,2.91391570427739
4.73872112787788,2.91006222354702
4.76342626618158,2.90621859737145
4.78827097834031,2.90238479427599
4.81325612198995,2.89856078290633
4.83838256049223,2.89474653202784
4.86365116297237,2.89094201052514
4.88906280436288,2.88714718740159
4.91461836544511,2.8833620317787
4.94031873289016,2.87958651289566
4.96616479930336,2.87582060010881
4.99215746326497,2.87206426289112
5.01829762937611,2.86831747083166
5.04458620829937,2.86458019363516
5.07102411680505,2.86085240112142
5.09761227781311,2.85713406322485
5.12435162044031,2.85342514999397
5.15124308004254,2.84972563159089
5.17828759826162,2.84603547829082
5.20548612307093,2.84235466048159
5.23283960882052,2.83868314866315
5.26034901628393,2.83502091344706
5.28801531270409,2.83136792555605
5.31583947184206,2.82772415582346
5.34382247402222,2.82408957519284
5.3719653061821,2.82046415471743
5.40026896191835,2.81684786555967
5.42873444153726,2.81324067899075
5.4573627521028,2.80964256639013
5.4861549074848,2.80605349924506
5.51511192841078,2.80247344915012
5.5442348425137,2.79890238780676
5.57352468438483,2.7953402870228
5.6029824956217,2.79178711871202
5.63260932488145,2.78824285489368
5.66240622793163,2.78470746769205
5.69237426770291,2.78118092933597
5.72251451433994,2.77766321215838
5.75282804525541,2.7741542885959
5.78331594518303,2.77065413118835
5.81397930623113,2.76716271257834
5.84481922793653,2.76368000551074
5.87583681731992,2.76020598283241
5.90703318893879,2.75674061749154
5.93840946494509,2.75328388253739
5.96996677513904,2.74983575111978
6.00170625702733,2.74639619648865
6.0336290558774,2.74296519199367
6.06573632477692,2.73954271108375
6.09802922468903,2.73612872730669
6.13050892451282,2.73272321430869
6.16317660113916,2.72932614583396
6.19603343951202,2.72593749572426
6.22908063268605,2.72255723791856
6.26231938188752,2.71918534645255
6.29575089657342,2.71582179545824
6.32937639449416,2.71246655916359
6.36319710175256,2.70911961189202
6.39721425286711,2.70578092806211
6.43142909083404,2.70245048218706
6.46584286718962,2.69912824887442
6.50045684207351,2.69581420282557
6.53527228429217,2.69250831883541
6.57029047138419,2.6892105717919
6.60551268968295,2.68592093667572
6.64094023438455,2.6826393885598
6.67657440961046,2.67936590260899
6.71241652847675,2.67610045407964
6.74846791315886,2.67284301831922
6.78472989496008,2.66959357076594
6.82120381437818,2.66635208694831
6.85789102117449,2.66311854248487
6.89479287444404,2.65989291308367
6.93191074268266,2.656675174542
6.96924600385798,2.65346530274593
7.00680004548091,2.65026327367002
7.04457426467532,2.64706906337687
7.08257006825122,2.64388264801676
7.12078887277504,2.64070400382732
