i,Sp,S0,branch
1.00228026509152,0.000235045500823906,0.00038196496031768,concave
1.00624079260964,0.000239695062755025,0.000389274353687713,concave
1.01021284628135,0.000244421617148369,0.000396699815026827,concave
1.01419644747889,0.000249226159668137,0.000404242758629356,concave
1.01819161759066,0.000254109694460021,0.000411904609546735,concave
1.02219837802112,0.000259073234166827,0.000419686803589669,concave
1.0262167501909,0.000264117799943615,0.000427590787329617,concave
1.03024675553668,0.000269244421472153,0.000435618018099255,concave
1.03428841551124,0.00027445413697482,0.000443769963992153,concave
1.03834175158343,0.000279747993227911,0.000452048103861577,concave
1.04240678523818,0.00028512704557422,0.000460453927318229,concave
1.04648353797646,0.000290592357935177,0.000468988934727384,concave
1.05057203131531,0.000296145002822185,0.000477654637204824,concave
1.05467228678778,0.000301786061347535,0.000486452556612224,concave
1.05878432594297,0.000307516623234462,0.000495384225551257,concave
1.06290817034598,0.000313337786826833,0.000504451187357221,concave
1.06704384157794,0.000319250659097947,0.000513654996091358,concave
1.07119136123596,0.000325256355658951,0.000522997216532689,concave
1.07535075093314,0.0003313560007664,0.000532479424168573,concave
1.07952203229858,0.000337550727329377,0.000542103205184712,concave
1.08370522697734,0.000343841676915779,0.000551870156453927,concave
1.08790035663042,0.000350229999758169,0.00056178188552439,concave
1.09210744293479,0.000356716854758807,0.000571840010606647,concave
1.09632650758338,0.000363303409494107,0.000582046160559885,concave
1.10055757228501,0.000369990840218545,0.000592401974877449,concave
1.10480065876445,0.00037678033186767,0.000602909103671058,concave
1.10905578876238,0.000383673078060793,0.000613569207654666,concave
1.11332298403538,0.000390670281102707,0.000624383958126909,concave
1.11760226635591,0.000397773151984999,0.00063535503695306,concave
1.12189365751235,0.000404982910386507,0.000646484136545756,concave
1.1261971793089,0.000412300784673356,0.000657772959845228,concave
1.13051285356568,0.000419728011898091,0.000669223220298223,concave
1.13484070211863,0.000427265837798326,0.000680836641836348,concave
1.13918074681955,0.000434915516794631,0.000692614958853321,concave
1.14353300953607,0.000442678311987847,0.000704559916181508,concave
1.14789751215164,0.000450555495155664,0.000716673269067436,concave
1.15227427656554,0.000458548346748569,0.000728956783146483,concave
1.15666332469286,0.000466658155885193,0.000741412234416769,concave
1.16106467846447,0.000474886220346833,0.000754041409211932,concave
1.16547835982704,0.00048323384657148,0.000766846104173267,concave
1.16990439074302,0.000491702349647148,0.000779828126220962,concave
1.17434279319062,0.00050029305330442,0.000792989292524248,concave
1.17879358916382,0.000509007289908473,0.000806331430470919,concave
1.18325680067233,0.000517846400450407,0.000819856377635928,concave
1.18773244974163,0.000526811734537831,0.000833565981748991,concave
1.19222055841291,0.000535904650384924,0.000847462100661557,concave
1.19672114874309,0.000545126514801625,0.000861546602312575,concave
1.20123424280479,0.000554478703182435,0.000875821364693862,concave
1.20575986268635,0.000563962599494309,0.000890288275814191,concave
1.21029803049179,0.000573579596264013,0.000904949233662785,concave
1.21484876834081,0.000583331094564779,0.00091980614617184,concave
1.21941209836879,0.000593218504002351,0.00093486093117833,concave
1.22398804272678,0.000603243242700262,0.00095011551638479,concave
1.22857662358148,0.000613406737284613,0.000965571839319503,concave
1.23317786311523,0.000623710422867971,0.00098123184729554,concave
1.237791783526,0.000634155743032846,0.000997097497369291,concave
1.24241840702741,0.00064474414981434,0.00101317075629796,concave
1.24705775584866,0.000655477103682256,0.00102945360049638,concave
1.2517098522346,0.000666356073522424,0.00104594801599283,concave
1.25637471844565,0.000677382536617517,0.00106265599838426,concave
1.26105237675781,0.000688557978627071,0.00107957955279047,concave
1.26574284946268,0.000699883893567005,0.00109672069380776,concave
1.27044615886742,0.000711361783788387,0.00111408144546157,concave
1.27516232729475,0.000722993159955502,0.00113166384115826,concave
1.27989137708294,0.000734779541023541,0.00114946992363654,concave
1.2846333305858,0.000746722454215235,0.00116750174491745,concave
1.28938821017267,0.00075882343499718,0.00118576136625408,concave
1.29415603822842,0.000771084027055469,0.00120425085808048,concave
1.29893683715341,0.000783505782270512,0.00122297229995941,concave
1.30373062936353,0.000796090260691359,0.00124192778052972,concave
1.30853743729013,0.000808839030509398,0.00126111939745279,concave
1.31335728338009,0.000821753668031442,0.00128054925735841,concave
1.31819019009572,0.000834835757651956,0.00130021947578948,concave
1.32303617991481,0.000848086891825007,0.00132013217714648,concave
1.32789527533062,0.000861508671035332,0.00134028949463086,concave
1.33276749885184,0.000875102703768886,0.00136069357018787,concave
1.33765287300258,0.000888870606482729,0.0013813465544485,concave
1.34255142032242,0.000902814003574332,0.0014022506066709,concave
1.34746316336632,0.000916934527350274,0.00142340789468093,concave
1.35238812470466,0.000931233817994265,0.00144482059481205,concave
1.35732632692322,0.000945713523534624,0.00146649089184452,concave
1.36227779262317,0.000960375299811142,0.00148842097894394,concave
1.36724254442106,0.000975220810441298,0.00151061305759895,concave
1.3722206049488,0.000990251726785928,0.00153306933755842,concave
1.37721199685367,0.00100546972791429,0.00155579203676791,concave
1.3822167427983,0.00102087650056846,0.00157878338130534,concave
1.38723486546066,0.00103647373912724,0.00160204560531614,concave
1.39226638753405,0.00105226314556952,0.0016255809509478,concave
1.39731133172709,0.00106824642943682,0.00164939166828348,concave
1.40236972076373,0.00108442530779546,0.00167348001527521,concave
1.40744157738321,0.00110080150519822,0.00169784825767653,concave
1.41252692434007,0.0011173767536451,0.0017224986689741,concave
1.41762578440412,0.00113415279254388,0.00174743353031917,concave
1.42273818036046,0.00115113136866994,0.0017726551304582,concave
1.42786413500947,0.0011683142361254,0.00179816576566265,concave
1.43300367116675,0.00118570315629798,0.0018239677396586,concave
1.43815681166318,0.00120329989781908,0.00185006336355553,concave
1.44332357934486,0.00122110623652146,0.00187645495577452,concave
1.44850399707314,0.00123912395539612,0.00190314484197571,concave
1.45369808772455,0.00125735484454909,0.0019301353549857,concave
1.45890587419087,0.0012758007011572,0.00195742883472376,concave
1.46412737937906,0.00129446332942364,0.00198502762812792,concave
1.46936262621127,0.00131334454053271,0.00201293408908003,concave
1.47461163762485,0.00133244615260452,0.00204115057833116,concave
1.47987443657229,0.00135176999064854,0.00206967946342525,concave
1.48515104602128,0.00137131788651709,0.0020985231186232,concave
